Season,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,NICKNAME,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT
2025-26,1630639,A.J. Lawson,1610612761,TOR,25.0,A.J.,2,6,0.333,0,0,0.0,0,0,0.0,2,4,0.5,,,
2025-26,1631260,AJ Green,1610612749,MIL,26.0,AJ,4,6,0.667,4,8,0.5,0,2,0.0,81,173,0.468,0,0,0.0
2025-26,1642358,AJ Johnson,1610612764,WAS,21.0,AJ,2,12,0.167,0,0,0.0,0,0,0.0,0,3,0.0,0,0,0.0
2025-26,203932,Aaron Gordon,1610612743,DEN,30.0,Aaron,46,68,0.676,4,12,0.333,4,11,0.364,28,63,0.444,0,0,0.0
2025-26,1628988,Aaron Holiday,1610612745,HOU,29.0,Aaron,14,19,0.737,3,15,0.2,0,3,0.0,35,79,0.443,0,0,0.0
2025-26,1630174,Aaron Nesmith,1610612754,IND,26.0,Aaron,18,37,0.486,3,18,0.167,2,9,0.222,31,83,0.373,0,0,0.0
2025-26,1630598,Aaron Wiggins,1610612760,OKC,26.0,Aaron,31,60,0.517,5,10,0.5,1,2,0.5,35,86,0.407,0,0,0.0
2025-26,1642846,Ace Bailey,1610612762,UTA,19.0,Ace,43,67,0.642,13,34,0.382,15,37,0.405,41,116,0.353,0,0,0.0
2025-26,1641737,Adem Bona,1610612755,PHI,22.0,Adem,23,43,0.535,0,0,0.0,0,0,0.0,2,4,0.5,0,0,0.0
2025-26,1642876,Adou Thiero,1610612747,LAL,21.0,Adou,3,7,0.429,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
2025-26,1642349,Ajay Mitchell,1610612760,OKC,23.0,Ajay,86,151,0.57,24,47,0.511,1,16,0.063,30,87,0.345,0,0,0.0
2025-26,201143,Al Horford,1610612744,GSW,39.0,Al,6,12,0.5,2,8,0.25,0,1,0.0,17,57,0.298,0,0,0.0
2025-26,1627936,Alex Caruso,1610612760,OKC,31.0,Alex,18,33,0.545,2,5,0.4,0,0,0.0,20,60,0.333,0,0,0.0
2025-26,1642259,Alex Sarr,1610612764,WAS,20.0,Alex,98,169,0.58,18,39,0.462,2,7,0.286,22,60,0.367,0,0,0.0
2025-26,1642918,Alijah Martin,1610612761,TOR,23.0,Alijah,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,,,
2025-26,1630578,Alperen Sengun,1610612745,HOU,23.0,Alperen,142,230,0.617,41,102,0.402,8,25,0.32,20,63,0.317,0,0,0.0
2025-26,1642873,Amari Williams,1610612738,BOS,23.0,Amari,1,2,0.5,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
2025-26,1641708,Amen Thompson,1610612745,HOU,22.0,Amen,149,236,0.631,12,50,0.24,9,23,0.391,10,52,0.192,0,0,0.0
2025-26,1629599,Amir Coffey,1610612749,MIL,28.0,Amir,4,6,0.667,2,4,0.5,1,3,0.333,3,11,0.273,0,0,0.0
2025-26,203083,Andre Drummond,1610612755,PHI,32.0,Andre,57,102,0.559,4,6,0.667,0,0,0.0,15,36,0.417,0,0,0.0
2025-26,1641748,Andre Jackson Jr.,1610612749,MIL,24.0,Andre,4,5,0.8,0,3,0.0,0,1,0.0,2,13,0.154,0,0,0.0
2025-26,1629614,Andrew Nembhard,1610612754,IND,25.0,Andrew,45,79,0.57,23,59,0.39,13,38,0.342,36,99,0.364,0,0,0.0
2025-26,203952,Andrew Wiggins,1610612748,MIA,30.0,Andrew,79,142,0.556,22,51,0.431,9,22,0.409,45,116,0.388,0,0,0.0
2025-26,1629014,Anfernee Simons,1610612738,BOS,26.0,Anfernee,34,57,0.596,21,41,0.512,13,35,0.371,63,169,0.373,0,0,0.0
2025-26,1641710,Anthony Black,1610612753,ORL,21.0,Anthony,96,163,0.589,8,27,0.296,2,15,0.133,30,103,0.291,1,1,1.0
2025-26,203076,Anthony Davis,1610612742,DAL,32.0,Anthony,76,119,0.639,12,39,0.308,12,28,0.429,8,26,0.308,0,0,0.0
2025-26,1630162,Anthony Edwards,1610612750,MIN,24.0,Anthony,96,152,0.632,24,56,0.429,17,44,0.386,72,178,0.404,0,0,0.0
2025-26,1630264,Anthony Gill,1610612764,WAS,33.0,Anthony,5,8,0.625,0,0,0.0,0,0,0.0,1,2,0.5,0,0,0.0
2025-26,1641810,Antonio Reeves,1610612766,CHA,25.0,Antonio,2,5,0.4,1,1,1.0,0,0,0.0,5,10,0.5,0,0,0.0
2025-26,1630574,Ariel Hukporti,1610612752,NYK,23.0,Ariel,8,13,0.615,0,3,0.0,0,0,0.0,0,0,0.0,0,0,0.0
2025-26,1642854,Asa Newell,1610612737,ATL,20.0,Asa,23,36,0.639,0,2,0.0,0,0,0.0,15,30,0.5,0,0,0.0
2025-26,1641709,Ausar Thompson,1610612765,DET,22.0,Ausar,98,163,0.601,10,33,0.303,1,7,0.143,5,16,0.313,0,0,0.0
2025-26,1630559,Austin Reaves,1610612747,LAL,27.0,Austin,85,121,0.702,30,61,0.492,4,12,0.333,59,160,0.369,0,0,0.0
2025-26,1630245,Ayo Dosunmu,1610612741,CHI,25.0,Ayo,70,126,0.556,6,10,0.6,1,3,0.333,41,88,0.466,0,0,0.0
2025-26,1628389,Bam Adebayo,1610612748,MIA,28.0,Bam,68,110,0.618,45,93,0.484,6,18,0.333,33,103,0.32,0,0,0.0
2025-26,1631248,Baylor Scheierman,1610612738,BOS,25.0,Baylor,6,8,0.75,3,3,1.0,0,0,0.0,17,39,0.436,0,0,0.0
2025-26,1642879,Ben Saraf,1610612751,BKN,19.0,Ben,11,24,0.458,2,4,0.5,0,1,0.0,9,33,0.273,0,0,0.0
2025-26,1641767,Ben Sheppard,1610612754,IND,24.0,Ben,23,45,0.511,4,10,0.4,1,4,0.25,24,88,0.273,0,0,0.0
2025-26,1631097,Bennedict Mathurin,1610612754,IND,23.0,Bennedict,36,79,0.456,14,24,0.583,9,19,0.474,41,109,0.376,0,0,0.0
2025-26,1641731,Bilal Coulibaly,1610612764,WAS,21.0,Bilal,23,47,0.489,0,4,0.0,1,2,0.5,11,45,0.244,0,0,0.0
2025-26,202687,Bismack Biyombo,1610612759,SAS,33.0,Bismack,3,4,0.75,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0
2025-26,1631104,Blake Wesley,1610612757,POR,22.0,Blake,10,15,0.667,1,5,0.2,1,4,0.25,2,10,0.2,0,0,0.0
2025-26,1626171,Bobby Portis,1610612749,MIL,30.0,Bobby,41,77,0.532,32,63,0.508,18,42,0.429,54,115,0.47,0,0,0.0
2025-26,1641752,Bobi Klintman,1610612765,DET,22.0,Bobi,3,7,0.429,1,2,0.5,0,1,0.0,3,11,0.273,0,0,0.0
2025-26,203992,Bogdan Bogdanović,1610612746,LAC,33.0,Bogdan,10,22,0.455,8,15,0.533,2,5,0.4,23,68,0.338,0,0,0.0
2025-26,1630538,Bones Hyland,1610612750,MIN,25.0,Bones,16,23,0.696,4,5,0.8,1,1,1.0,21,56,0.375,0,0,0.0
2025-26,203078,Bradley Beal,1610612746,LAC,32.0,Bradley,7,11,0.636,2,12,0.167,2,6,0.333,7,19,0.368,0,0,0.0
2025-26,1642382,Branden Carlson,1610612760,OKC,26.0,Branden,25,34,0.735,0,0,0.0,0,1,0.0,12,30,0.4,0,0,0.0
2025-26,1641764,Brandin Podziemski,1610612744,GSW,22.0,Brandin,40,66,0.606,22,52,0.423,8,23,0.348,56,139,0.403,0,0,0.0
2025-26,1629634,Brandon Clarke,1610612763,MEM,29.0,Brandon,2,8,0.25,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0.0
2025-26,1627742,Brandon Ingram,1610612761,TOR,28.0,Brandon,66,110,0.6,79,162,0.488,45,97,0.464,54,146,0.37,0,0,0.0
2025-26,1641706,Brandon Miller,1610612766,CHA,23.0,Brandon,30,53,0.566,11,40,0.275,2,9,0.222,30,94,0.319,0,0,0.0
2025-26,1630314,Brandon Williams,1610612742,DAL,26.0,Brandon,65,129,0.504,16,32,0.5,2,7,0.286,14,73,0.192,0,0,0.0
2025-26,1641729,Brice Sensabaugh,1610612762,UTA,22.0,Brice,25,38,0.658,11,30,0.367,3,4,0.75,39,114,0.342,0,0,0.0
2025-26,1642355,Bronny James,1610612747,LAL,21.0,Bronny,3,8,0.375,3,7,0.429,0,2,0.0,4,14,0.286,0,0,0.0
2025-26,201572,Brook Lopez,1610612746,LAC,37.0,Brook,9,15,0.6,8,19,0.421,0,2,0.0,28,75,0.373,0,0,0.0
2025-26,1642964,Brooks Barnhizer,1610612760,OKC,23.0,Brooks,11,17,0.647,0,1,0.0,0,1,0.0,1,4,0.25,0,0,0.0
2025-26,1628971,Bruce Brown,1610612743,DEN,29.0,Bruce,52,93,0.559,5,24,0.208,0,3,0.0,14,44,0.318,0,0,0.0
2025-26,1631121,Bryce McGowens,1610612740,NOP,23.0,Bryce,30,57,0.526,2,5,0.4,1,1,1.0,15,29,0.517,0,0,0.0
2025-26,1642267,Bub Carrington,1610612764,WAS,20.0,Bub,12,41,0.293,12,31,0.387,11,27,0.407,48,115,0.417,0,0,0.0
2025-26,1627741,Buddy Hield,1610612744,GSW,33.0,Buddy,33,52,0.635,7,12,0.583,0,4,0.0,41,128,0.32,0,0,0.0
2025-26,203468,CJ McCollum,1610612764,WAS,34.0,CJ,53,104,0.51,43,82,0.524,8,27,0.296,79,198,0.399,0,0,0.0
2025-26,1630595,Cade Cunningham,1610612765,DET,24.0,Cade,122,231,0.528,47,97,0.485,17,34,0.5,51,161,0.317,0,0,0.0
2025-26,1631216,Caleb Houstan,1610612737,ATL,22.0,Caleb,1,3,0.333,0,0,0.0,0,0,0.0,5,10,0.5,0,0,0.0
2025-26,1631126,Caleb Love,1610612757,POR,24.0,Caleb,27,53,0.509,3,14,0.214,1,4,0.25,26,100,0.26,0,0,0.0
2025-26,1628997,Caleb Martin,1610612742,DAL,30.0,Caleb,6,17,0.353,0,3,0.0,1,4,0.25,2,13,0.154,0,0,0.0
2025-26,1642353,Cam Christie,1610612746,LAC,20.0,Cam,11,26,0.423,2,7,0.286,0,0,0.0,9,29,0.31,0,0,0.0
2025-26,1642285,Cam Spencer,1610612763,MEM,25.0,Cam,11,29,0.379,22,34,0.647,6,13,0.462,70,140,0.5,0,0,0.0
2025-26,1630560,Cam Thomas,1610612751,BKN,24.0,Cam,12,29,0.414,20,40,0.5,5,18,0.278,16,45,0.356,0,0,0.0
2025-26,1641715,Cam Whitmore,1610612764,WAS,21.0,Cam,56,90,0.622,4,16,0.25,1,7,0.143,16,56,0.286,0,0,0.0
2025-26,1629661,Cameron Johnson,1610612743,DEN,29.0,Cameron,45,74,0.608,5,19,0.263,8,19,0.421,46,117,0.393,0,0,0.0
2025-26,1627747,Caris LeVert,1610612765,DET,31.0,Caris,33,48,0.688,5,25,0.2,2,5,0.4,29,73,0.397,0,0,0.0
2025-26,1642868,Carter Bryant,1610612759,SAS,20.0,Carter,9,19,0.474,1,5,0.2,0,0,0.0,9,30,0.3,0,0,0.0
2025-26,1641717,Cason Wallace,1610612760,OKC,22.0,Cason,39,73,0.534,4,10,0.4,0,1,0.0,39,109,0.358,0,0,0.0
2025-26,1642907,Cedric Coward,1610612763,MEM,22.0,Cedric,77,120,0.642,18,44,0.409,1,3,0.333,40,127,0.315,0,0,0.0
2025-26,1629646,Charles Bassey,1610612763,MEM,25.0,Charles,3,7,0.429,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0
2025-26,1642404,Chaz Lanier,1610612765,DET,24.0,Chaz,0,0,0.0,2,3,0.667,0,2,0.0,12,37,0.324,0,0,0.0
2025-26,1631096,Chet Holmgren,1610612760,OKC,23.0,Chet,98,139,0.705,23,44,0.523,9,16,0.563,36,91,0.396,0,0,0.0
2025-26,1628449,Chris Boucher,1610612738,BOS,32.0,Chris,6,9,0.667,0,0,0.0,0,1,0.0,1,12,0.083,0,0,0.0
2025-26,1641753,Chris Livingston,1610612739,CLE,22.0,Chris,4,4,1.0,0,0,0.0,0,0,0.0,0,3,0.0,0,0,0.0
2025-26,1643024,Chris Mañon,1610612747,LAL,24.0,Chris,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,0.0
2025-26,101108,Chris Paul,1610612746,LAC,40.0,Chris,4,7,0.571,2,14,0.143,2,5,0.4,10,30,0.333,0,0,0.0
2025-26,1642959,Chris Youngblood,1610612760,OKC,23.0,Chris,2,3,0.667,0,2,0.0,0,0,0.0,8,25,0.32,0,0,0.0
2025-26,1631128,Christian Braun,1610612743,DEN,24.0,Christian,38,60,0.633,2,3,0.667,2,6,0.333,6,28,0.214,0,0,0.0
2025-26,1631132,Christian Koloko,1610612747,LAL,25.0,Christian,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
2025-26,1642935,Chucky Hepburn,1610612761,TOR,22.0,Chucky,0,0,0.0,0,1,0.0,0,0,0.0,0,5,0.0,0,0,0.0
2025-26,203991,Clint Capela,1610612745,HOU,31.0,Clint,37,66,0.561,0,2,0.0,0,0,0.0,0,0,0.0,0,0,0.0
2025-26,1629632,Coby White,1610612741,CHI,25.0,Coby,47,79,0.595,5,9,0.556,3,9,0.333,25,84,0.298,0,0,0.0
2025-26,1628998,Cody Martin,1610612754,IND,30.0,Cody,2,4,0.5,0,1,0.0,0,0,0.0,0,5,0.0,0,0,0.0
