NBA_ID,Season,Player,RotationRole,MIN,MissingCount,MissingMetrics
708,2013-14,Kevin Garnett,Key Rotation,1107.0,2,Playmaking Talent | Touches Per 75
708,2014-15,Kevin Garnett,Rotation,954.1,2,Playmaking Talent | Touches Per 75
951,2013-14,Ray Allen,Starter,1934.5,2,Playmaking Talent | Touches Per 75
959,2013-14,Steve Nash,Rotation,312.0,2,Playmaking Talent | Touches Per 75
965,2013-14,Derek Fisher,Rotation,1425.6000000000001,2,Playmaking Talent | Touches Per 75
977,2013-14,Kobe Bryant,Too Few Games,177.0,2,Playmaking Talent | Touches Per 75
977,2014-15,Kobe Bryant,Starter,1207.5,2,Playmaking Talent | Touches Per 75
979,2013-14,Jermaine ONeal,Rotation,884.4000000000001,2,Playmaking Talent | Touches Per 75
1495,2013-14,Tim Duncan,Star,2160.7999999999997,2,Playmaking Talent | Touches Per 75
1495,2014-15,Tim Duncan,Star,2225.2999999999997,2,Playmaking Talent | Touches Per 75
1497,2013-14,Chauncey Billups,Rotation,309.7,2,Playmaking Talent | Touches Per 75
1536,2013-14,Stephen Jackson,Garbage Time,107.10000000000001,2,Playmaking Talent | Touches Per 75
1712,2013-14,Antawn Jamison,Garbage Time,248.60000000000002,2,Playmaking Talent | Touches Per 75
1713,2013-14,Vince Carter,Starter,1976.3999999999999,2,Playmaking Talent | Touches Per 75
1713,2014-15,Vince Carter,Rotation,1089.0,2,Playmaking Talent | Touches Per 75
1717,2013-14,Dirk Nowitzki,Star,2632.0,2,Playmaking Talent | Touches Per 75
1717,2014-15,Dirk Nowitzki,Star,2279.2000000000003,2,Playmaking Talent | Touches Per 75
1718,2013-14,Paul Pierce,Starter,2100.0,2,Playmaking Talent | Touches Per 75
1718,2014-15,Paul Pierce,Starter,1912.6,2,Playmaking Talent | Touches Per 75
1733,2013-14,Al Harrington,Rotation,510.0,2,Playmaking Talent | Touches Per 75
1737,2013-14,Nazr Mohammed,Garbage Time,560.0,2,Playmaking Talent | Touches Per 75
1737,2014-15,Nazr Mohammed,Garbage Time,128.79999999999998,2,Playmaking Talent | Touches Per 75
1740,2013-14,Rashard Lewis,Rotation,972.0,2,Playmaking Talent | Touches Per 75
1882,2013-14,Elton Brand,Rotation,1416.1999999999998,2,Playmaking Talent | Touches Per 75
1882,2014-15,Elton Brand,Rotation,486.0,2,Playmaking Talent | Touches Per 75
1889,2013-14,Andre Miller,Rotation,980.1999999999999,2,Playmaking Talent | Touches Per 75
1889,2014-15,Andre Miller,Rotation,1255.5,2,Playmaking Talent | Touches Per 75
1890,2013-14,Shawn Marion,Starter,2409.2,2,Playmaking Talent | Touches Per 75
1890,2014-15,Shawn Marion,Rotation,1100.1000000000001,2,Playmaking Talent | Touches Per 75
1891,2013-14,Jason Terry,Rotation,570.5,2,Playmaking Talent | Touches Per 75
1891,2014-15,Jason Terry,Rotation,1640.1000000000001,2,Playmaking Talent | Touches Per 75
1897,2013-14,Metta World Peace,Rotation,388.6,2,Playmaking Talent | Touches Per 75
1905,2013-14,Andrei Kirilenko,Rotation,859.5000000000001,2,Playmaking Talent | Touches Per 75
1905,2014-15,Andrei Kirilenko,Too Few Games,36.4,2,Playmaking Talent | Touches Per 75
1938,2013-14,Manu Ginobili,Key Rotation,1550.4,2,Playmaking Talent | Touches Per 75
